CP Num,Title,System,Component,Item,Description,Solution
"2360","""Unauthorized to deliver this brand of merchandise","NA-GBMS Tire HQ","TRANSACTIONS","DELIVERIES","CP2360 Users are getting the message ""Unauthorized to deliver this brand of merchandise"" when entering a product code on Tire-HQ.","""""""Unauthorized to deliver this brand of merchandise"""" is just that ... they are not authorized by Goodyear to deliver this brand/service (per -BAK- BRD AUT KEY  listed on screen 49).
In all cases they are to get with their area managers to either confirm that they are authorized to deliver that product/service, (and the CAB key needs changed), or the CAB key is correct and they are NOT authorized by Goodyear to deliver that product/service.  In the later case ... they would bill on their books. If they need a contact at the Region level ... direct them to Info>Region News>Contact list."""
"2373","403 WEB SERVER ERROR","NA-GBMS Hardware","THINCLIENT","MAXSPEED","CP2373  Home page comes up to:
403 WEB SERVER ERROR""","""Telnet on to the site - at the # prompt type
( sethttpd  )
Then have them refresh the screen. The home page should load up."""
"2374","GBS-Advertising Catalog","NA-GBMS Tire HQ","","","CP2374 Users need access to GBS-Advertising Catalog, or have problems placing orders to GBS.","""GBS is option 8 on our phone menu.  For now.. contact GBS 1-866-370-4271 (open from 7:30 A.M.- 7:00 P.M EST)

(Effective 3/21/2005 ... POS and Marketing materials are ordered thru GBS.)
In addition to the Internet, you can place orders by one of the following ways:
? Call Goodyear infoLink at 1-800-755-2772 from 7:30 A.M. - 7:00 P.M. EST
? Call GBS at 1-866-370-4271 from 7:30 A.M.- 7:00 P.M EST
? Fax your orders to 1-866-676-4272 (Print the Fax Order Form.pdf - Adobe PDF)
? Call your Logistic Centers"""
"2380","Electronic Deposits for A/R accounts","NA-GBMS 3","A/R","AR OPTIONS","CP2380 DEALERS ONLY
Electonics bank deposit for A/R accounts""","""Step 1
Issue an A/R Journal Ticket.
Reason for Issuance - Electonic Deposit
Credit the A/R account using generated code 10100
Debit the Cash account using 100xx
Press F7 you will be promted to enter a due date, press F7 again to print the journal ticket

Step 2
Issue a A/R Cash Receipt
Apply the credit line item to an open invoice(s)"""
"2386","Thin Client Time is incorrect","NA-GBMS Hardware","THINCLIENT","HP","CP2386  The Bottom Right Corner of my Thin Client has the wrong time.","""**** UPDATE 11-04-08 *****

IF ONLY THE TIME OR DATE IS WRONG - CHANGE IT FROM THE HOME PAGE
Have the user left-click the mouse on the time in the bottom right hand corner of the screen. Then click on ""Change date and time settings ..."".
This will display the Date/Time panel.

IF THE TIME ZONE IS OFF IN ANY WAY - YOU WILL NEED TO GO INTO SETUP AND CHANGE IT THERE
The time should sync up correctly after this."
"2387","How does a mechanic get compensation for warranty","NA-GBMS 3","POINT OF SALE","WARRANTY","CP2387  Loc has redone service work performed by another Allied loc .  One repair was for a timing belt replacement that took his mechanic four hours to fix.  How does his mechanic get compensated for this work.","Per M. Kirkpatrick......Issue an Invoice with the service work discounted to NO CHARGE and select Warranty as the reason. If the tech performing the warranty work is the same one that did the work under the Allied name then they use that tech. If it's not then they use employee number 1 as the tech and the tech gets no credit....but they also do not get penalized the credit amount...please note this is only for work that was done as Allied...please create a hot news for this for future reference"
"2390","Forbidden","NA-GBMS Hardware","THINCLIENT","MAXSPEED","CP2390  Forbidden msg on the home page","Telnet on to the store - get the terminal number . Type this command in  ( sethttpd x )  x = the terminal number. Click on logoff off and click logoff again. This will refresh the screen to the correct homepage."
"2391","SESSION IN USE","NA-GBMS Hardware","THINCLIENT","HP","CP2391  Error - SESSION IN USE, OPTION IN USE or All GBMS applications exceeded ...when nothing is in the task bar.  (This error can also occur when remotely signed on to loc.)","Have the user go to T1 on the home page .
Click on Sys Admin
Click on reset terminal
select the terminal that needs to be reset .

* If going to terminal 1 and clicking the reset terminal option does not fix the issue open a ticket for Level 3.

If REMOTE dial situation:
session in use on remote dial ...
Remote into the remote loc, go into plus (Opt. 2, opt. 2)
Do: > @spgm
verify a 'dial' or 'remote' session is listed, if so:
'dial': at > type:  delete from pgmfile where pgtrue='dial';  (press ENTER)
OR
'remote': at > type:  delete from pgmfile where pgtrue='remote';  (press ENTER)
(should get 1 row updated)
at > type: commit;  (press ENTER)
(loc should now be able to access application they were in earlier.)"
"2392","ROM -Shipment in use on another terminal","NA-GBMS 3","INV ADMIN","ROM","CP2392  Why am I getting Shipment in use on another terminal when trying to select a shipment off of ROM?  I have checked the other terminals and there is no shipment on any of the screens.","""Known problem - Telnet into location and at the # prompt type plus.  it will go to a > prompt.  type  >@unlockship............or > @unlockship2 & enter.
This will clear and commit and location should be able to access the shipment now."""
"2394","T1 screen sitting at Console Login","NA-GBMS Hardware","CPU","ML150 G6","CP2394 Screen on T1 is sitting at ""gXXXX LOGIN"" (XXXX = Territory)","If they see ""gXXXX login"" (XXXX = Territory) on their screen at T1 they need to press the scroll lock key twice to change the workstation over to the Thinclient side to see the home page."
"2397","Replacement Maxterms","NA-GBMS Hardware","THINCLIENT","MAXSPEED","CP2397  Replacement Maxterms - How to install. GBMS3 & GBMS4

OR  If location tried to enter information themselves and entered the wrong information and getting message Page Cannot be displayed.""","GBMS4
Hold the shift key down and click on start and click the arrow to the right of Shutdown and click on restart
keep the shift key held in until you get 3 options on the screen.  Let go of the shift and Choose the 3rd option
It may take a minute or so for the setup script to come up.  Continue as on GBMS3 to fill in the information and click ok



""Swap out the deffective maxterm withthe replacement maxterm.
Turn it on and it will stop on the setup script.
1) enter the terr # ( ex: 2349 )
2) Terminal ID = is the terminal number ( ex: 1 )
3) IP address = IP address of the CPU ( ping the gxxxx to get the IP address)
4) Make sure the date , time , and time zone are correct at the bootum of the setup page.
5) click OK and the maxterm will reboot to the home page.

If customer is getting Page cannot be displayed because he entered the wrong information:
1) Have them hold the shift key down and press Start, then Log out, and are you sure you want to log out (Y)es?  Let go of shift key.
2) this will take them to the administrator screen.  Have them blank out GBMS and enter Setup and it will take them back to the setup screen.  Start at beginning of this common problem to help them enter data correctly."""
"2399","Code is invalid","NA-GBMS 3","PAID OUTS","PAID OUTS","CP2399  Why does it say "" code is invalid "" on an accounting code entry on non-parts paid outs?","""There is a program error in GBMS that doesn`t recognize valid accounting codes on initial entry -
the workaround is to have the user log out of GBMS, REFRESH the screen then return and retry, which generally corrects the problem."""
"2405","Screen Blank on the Maxterms","NA-GBMS Hardware","THINCLIENT","MAXSPEED","CP2405  1. Blue on the Maxterm   2. Screen is Blank
***Thin Client Issue***

Serial Number:
Ping Times:
Is there a report open already?
Details of Issue:
Troubleshooting:","1.  If the screen is blue, click on start and logoff and answer 'Y' to are you sure.  Homepage should refresh itself.

2.  Blank screen -  Verify Monitor has a light, if not troubleshoot the monitor.
		Telnet onto location and run checkthin to see if maxterm is online.  If maxterm showing offline VNC in because if updates
			have recently been sent to the maxterm it could show offline in error.

		Power off maxterm and if a dot matrix printer is hooked to terminal 1 power the printer off also.

		Unplug the power cord from the back of the maxterm for 5 seconds.  Plug power cord back in and turn on the maxterm.

		If it still comes back to blank screen unplug the power cord from the electric outlet and leave unplugged until the power light
			on the power pack goes out.  Then plug back in and turn maxterm on.

		Turn dot matrix printer on.

	IF SCREEN STILL DOES NOT COME UP SEND REPORT TO HARDWARE COMM."
"2413","A/R Recoveries","NA-GBMS 3","A/R","AR PAYMENTS","CP2413  Dealer receives a check for A/R account written off.","""Issue a minus Paid Out, code the check 54200.
Change the CASH field on the screen - y/n to 'N'
Deposit the check and count with nightly EOD deposits."""
"2414","Clearing sessions in use on Thin Clients","NA-GBMS Hardware","THINCLIENT","MAXSPEED","CP2414  Why can't I reset my terminal since I am on thin clients?","""Locations that are on thin clients now have the ability to reset screens and clear sessions in use
Have them go to the CONSOLE (T1) terminal and go to the homepage and click on System Administration and Reset Terminal.  Choose the terminal where the sessions are locked and reset the terminal(s).  They should be able to access applications now"""
"2415","Clear Windows print queue","NA-GBMS Hardware","PRINTER","","CP2415  How can we cancel or clear WINDOWS laser print queues not in lpstat?","""Correcting printing to laser that is loaded into the Windows print queue, where lpstat does not display the print items requested.

GO TO THE W/S WHICH INITIATED THE DOCUMENT AND FOLLOW THE PROCEDURE TO FIX:

FIX - LOC MUST CLOSE ALL APPLICATIONS EXCEPT HOMEPAGE THEN AGENT DIALS INTO THEM THRU THE VNC ADDRESS, LOGS THE SCREEN OUT, THEN HOLDS SHIFT KEY WHEN LOGOFF IS CLICKED, ALLOWING FOR ADMINISTATOR ACCESS, administrator/ GoodYear44316 -
ONCE THE BROWSER COMES UP, CLICK START AND LAUNCH INTERNET EXPLORER , THEN HOLD CTRL AND PRESS P - THEN CLICK ON THE PRINTER ICON, BOTTOM RIGHT OF SCREEN, WHICH WILL LIST THE PRINT JOBS QUEUED - CLICK THE FILE DROP AND CANCEL ANY OR ALL JOBS TO CLEAR THE QUEUE."""
"2416","GBMS - NA #0800 Lessee/Client invalid","NA-GBMS 3","DELIVERY RECEIPTS","75","CP2416  NA 0800 I am trying to enter in lessee/client number for a specific client(s) and getting highlighted fields in error.
See answer taken from N/A 0800 in Tire Hq""   ARI","NOTE: THE FOLLOWING CLIENTS ARE MANAGED BY ARI BUT SHOULD N O T BILL THROUGH ARI'S PROGRAM; THEY HAVE THEIR OWN PROGRAMS AND SHOULD BE BILLED ACCORDINGLY:__
 $$

 The following States are Managed by ARI but should be billed with their Government account number. Please look on Tire-HQ under the Government section for pricing and additional information.
 STATE OF GEORGIA ~ NA-9310 ~CLIENT #5AW1, 5C95 & 5F25~_
 STATE OF MINNESOTA~ NA-9322 ~CLIENT #5AC6 & 5CG1~_
 STATE OF NEW YORK~ NA-9331 ~CLIENT #5JD2, 5JG9 & 5J58~_
 STATE OF NORTH CAROLINA~ NA-9332 ~CLIENT #5EH0~_
 STATE OF UTAH~ NA-9343 ~CLIENT #5H79~_
 STATE OF WEST VIRGINIA~ NA-9347 ~CLIENT #5R82~_
 STATE OF WISCONSIN~ NA-9348 ~CLIENT #5K66, 5C27, 5U64, 5C23, 5V76, 5U29~_

 AMERIGAS~ NA-0508 ~CLIENT #0738, 5738, 5AH8, 5AP3, 5AP4, 5BC2, 5BC3, 5BC4~_
 BLACK HILLS SERVICE CO LLC~ NA 1065 ~CLIENT #0AN4 & 5BB5~_
 BURLINGTON NORTHERN~ NA-1288 ~CLIENT #5265, 0156, 5F56 & 5C08~_
 CSX CORPORATION - CSX TRANSP~ NA-1379 ~CLIENT #5AK0~_
 DELAWARE & HUDSON RAILROAD~ NA-2457 ~CLIENT #5R25, 5R26, 5R27 & 0K77~_
 HD SUPPLY, INC~ NA-4259 ~CLIENT #0B02, 0B11, 2N28 & 2N29, 5CB2, 5CB5, 5CB6, 5D50, 7B01~_
 NORFOLK SOUTHERN RAILROAD~ NA-6111 ~CLIENT #5K16~_
 SOO LINE RAILROAD~ NA-7633 ~CLIENT #5R28~_
 TENNESSEE VALLEY AUTHORITY~ NA-9467 ~CLIENT #5AF0; 5AF1; 5K80~_
 UNION PACIFIC RAILROAD~ NA-8332 ~CLIENT #5Z25 & 0J88~_
 SYNAGRO, INC~ NA-7565 ~CLIENT #0D15; 0K15; 5R83~_$$$

Obtain from driver's Coupon Book, Service Card or Purchase Order._CLIENT #5C95 and/or 5F25 (State of Georgia) use Gov't Acct #9310, Non-Sig #153554 and Document D for TIRE-HQ OR TC73 for GBMS._CLIENT #5K66, 5C27, 5U64, 5C23, 5V76 (State of Wisconsin) use Gov't Acct #9348, Non-Sig 148125 and Document D for TIRE-HQ OR TC73 for GBMS._CLIENT # 5AC6 & 5CG1(State of Minnesota) use Gov't Acct #9322, Non-Sig 132110 and Document D for TIRE-HQ OR TC73 for GBMS._CLIENT 5K80 (Tennessee Valley Authority) use Federal Acct #9467 and Document E for TIRE-HQ OR TC74 for GBMS._CLIENT #5R25, #5R26 and 5R27 (Delaware and Hudson Railroad) use National Acct #2457._CLIENT #5R28 (SOO Line Railway) use National Acct #7633_CLIENT #5Z25 & 0J88 (Union Pacific Railroad) use National Acct #8332. Client 0D15, 0K15 or 5R83 use National Account# 7565._


**Updated 7/31/2017"
"2420","Print not defaulting to correct printer","NA-GBMS Hardware","PRINTER","","CP2420  Why is it that when I print, the print is no longer defaulting to the correct printer?","Log out of any open GBMS applications (ex. POS, DR). From the homepage, click Admin and go to Printer Functions then click on Set GBMS Printer.  Click on the drop down of all printers.  Highlight the printer he wants to print to, and submit. Any application he brings up now will default to that printer."
"2422","Tire Rebate refund","NA-GBMS 3","TIRE REBATE","OTHER","CP2422  Who do I call to inquire about my tire rebate check that I have NOT yet received?","You can call the rebate number 800-356-4484 and follow the prompts for the rebate check or call direct 1-877-777-9937"
"2427","How to unlock my own document","NA-GBMS 3","HOMEPAGE-ADMIN","UNLOCK VEH/TIRE INSPEC DOCS","CP2427  I understand there is a new option off the homepage in System Administration that will allow me to unlock a doc in use doc?  It is called Unlock Document.","""1. System Administration on homepage now has Unlock Document on terminal #1
2. POS and DR sessions on ALL terminals must be closed to use this function. If any session is open, a screen will come up that lists the terminal with POS or DR still active.
3. Once all POS/DR apps are closed, a window will display with POS, DR, Acct Payable & Other Vendor Payable
4.  Select the type of doc and it will bring up an unlock doc screen which lists the seq #.  Enter the seq number and submit.
5.  Doc is now unlocked.

If this does not work,  agent can telnet in and unlock doc
1. Choose smenu option, option 2 work with database,
2. Type @ulock,
3. Type doc, type inv, dr, ap, or ven depending on doc type that is locked.
4. Find the doc or seq number and type in the 4 digits sequence numhber (left column) & enter,
5. Then  type commit; and enter
Exit from > and loc should be able to pull up document.""

ALSO might look for the doc by clicking on  Admin > Unlock Vehicle/Tire Inspection Docs from the GBMS homepage.  If the doc is listed, put checkmark in box to left of the doc and click on Unlock button.  Then loc should be able to recall the doc."
"2429","Turn off Tech Assist","NA-GBMS 3","HOMEPAGE-ADMIN","PROFILE","CP2429  How can I turn off the Tech Assist Information that is printing out on my workorders and/or invoices?","""1)  Go to the homepage
2)  Access GBMS Plus and scroll down and click on PROFILE.
3)  Click on the block that says Tech Assist.
4)  Input """"N"""" on the option you do not want it to print.
5)  Click on """"Update Profile.""""
6)  Exit out of POS ... and back in.
Tech assist information should NOT print anymore for the option(s) you entered """"N""""."""
"2431","GCC Application error","NA-GBMS 3","HOMEPAGE","GBMS PLUS","CP2431  Why when I try to process a Gdyr Credit Card Application from  main menu I keep getting error when trying to process?","Thin Client locations no longer use the option off Main Menu to process Gdyr Credit Card Applications.  The process is now done thru GBMS Plus off the homepage.  It now wants you to add the customer to your data base if they are not in there, then you go back into GBMS Plus to opt 2 Credit Card Application and select customer then will take you to the information screen to provide the customers information. When you submit the information it will have you verify the SS# as before and then will go out and get the approval.  Any errors should be reported to GBMS support"
"2434","Code 304 System Error","NA-GBMS Hardware","THINCLIENT","MAXSPEED","CP2434  Code 304 System Error (Page cannot be displayed was first error msg)","""Pressed scroll lock twice on T1 and received 304 system error.  KVM switch light goes back and forth when scroll lock is pressed (which it should).
If all connections to KVM switch were tight:
1)  Unplug all the connections to the KVM switch (kybd, mouse, thin client, server, display).
2)  Plug the connections back into the KVM switch (does not matter which order)."""
"2435","Needs Tire Registration set to N (no)","NA-GBMS 3","ADMIN","LOCATION PROF","CP2435  Tire Registration field in Location Profile needs changed to N (no) but there are no brackets around the field to indicate a change is allowed.","""CHANGE IS FOR DEALERS ONLY:
1)  Telnet into location and at the $ prompt, type:  plus  (enter)
2)  Type @ sql> update loccntl set lctirrg='N';  (enter)
3)  At the sql> prompt, type:  exit  (enter)
Location needs to log out of POS and back in to affect change."""
"2436","PPRS is in use/ PPR Locked","NA-GBMS 3","INV ADMIN","PARTS-ROM","CP2436  Why when I try to bring up my PROM and pull a vendor get ""PPR is in use"" or ""PPR locked"" message.","""Go into plus and run the following script:

SQL>@/u/sql/lockppr.sql (enter)

Everything you need to answer the questions is displayed:
vendor number (enter)
ppr # (enter)
version # (always 0) (enter)

Should get a message indicating the effort was successful.

SQL> commit;

SQL> exit

Advise user they are okay to pull up the document."""
"2440","TIORD can't be found on THQ","NA-GBMS Tire HQ","TIRES & ORDERING","ORDERS","CP2440 Why can't I see my Tire order, placed in GBMS via TIORD, in Order Status (in THQ)""?","Tire orders placed via TIORD will not show up in Order status, or SAP until @ 10:00 the following day.  Infolink will not even be able to see the order.  Advise user to check Order Status in Tire-HQ after 10:00 (EST) the day after the order was placed.  This is due to the TIORD being included in the B50 EOD batch.  (The Tire order piece is given to SAP in the am)"
"2442","Internet site removal","NA-GBMS 3","HOMEPAGE","LINKS","CP2442  Why am I unable to access some Internet sites, such as Yahoo,etc....?","In order to improve site performance on GBMS VSAT functions, many sites have been deleted and will not be added back to the access list. If the site the user is requesting is not on the list, they may continue to use the Usage Instructions button to request them. For the time being, users will not be able to access Yahoo Mail. If a dealer wants to discuss further, please refer the caller to Dealer Relations."
"2443","T1 flipping back & forth from CPU to Maxterm","NA-GBMS Hardware","THINCLIENT","MAXSPEED","CP2443  T1 flipping back & forth from CPU to Maxterm","Just hit the space bar one time and that will unlock the back & forth issue."
"2444","Dealer tax changes","NA-GBMS 3","ADMIN","LOCATION PROF","CP2444  How do I change Tax Rates?","Dealers are permitted to update city, county and transit files locally.  Have the user access location profile under the Admin. Program and tab to the field that needs changed.  Type the changed percentage, blank out the remainder in the field and press enter."
"2445","Power Loss","NA-GBMS Hardware","CPU","ML150 G6","CP2445  Power loss or system down procedures ( Blank Black or Blue screens )","Location called for assistance with bringing the system back up after a power outage.

1. Ping Satelite & Server - ping IDUXXXX -t ( XXXX is the location number)
2. Have POC go to T1 and press scroll lock twice and verify if the server is rebooting.
3. Remote into the server to see if the unit came back up properly and to unlock documents as needed.
4. Check the thin clients for Blank powerterm sessions with flashing cursor on screen.
     - If blank sessions exist then remote to the terminal and left click on the computer in the upper left hand corner and close the session.
     - If homepage is missing or has error page cannot be displayed refresh page or if page missing click on start then internet explorer."
"2446","Wrong Number","NA-GBMS 3","WRONG NUMBER","","CP2446 Enter Brief description of Call:","IF TRANSFERRING THE CUSTOMER TO ANOTHER GBMS AREA, YOU MUST CREATE A TICKET TO ACCOMPANY THE TRANSFER - DO NOT USE THIS COMMON PROBLEM!

GBMS:  1-800-331-4541 opt 1
DEALER ACCOUNTING:  1-800-331-4541 opt 3
TIRE-HQ:   1-800-331-4541 opt 5-opt 1

GYFIXES - 877-493-4937   (6-2950)
Option 1  - Kronos or GBMS Support(Which would bring them right back to our option 1- so don't transfer them for these questions)
Option 2  - Facility Maintenance & Equipment Repair - THEY ARE TO CALL THE VENDOR DIRECT - FOR THEIR ALIGNMENT RACK THEY WOULD CALL HUNTER.
        FOR SCRAP TIRE RETURNS:   Choose option 2 facility maintenance:
																Option 3 - Trash/Scrap tire
                      											Option 1 for River Road (if this is their primary hauler)
                       											Option 2 for Liberty Tire (If this is their primary hauler)

Electronic Menu Board                                 www.help.10ftwave.help.com

Option 3  - Store Support
Option 4  - Employee solutions Center
Option 5  - Accounts Receivable for Approvals or Questions
Option 6  - Infolink
Option 7  - Telephone Systems Support

Stanley Security                                      952-292-9246


6-HELP line for PASSWORD RESETS for MOST applications used by Goodyear Employees.  (PitRow, HRWings, etc)
		   hit Transfer + 6-HELP (or 64357) then hit transfer again  (outside line 800-380-0054)

E-PAY Questions - If you have questions about logging in to ePay or navigation, please call the ePAY Hotline at 866.981.3728.

WORKDAY - (KRONOS) - 844-449-4772

NEW - REPLACING ESC:  ESC is gone it is now a site off of the Retail Portal that is used by the store manager to make the changes that ESC use to handle.
Associate Service Center  844-449-4772   Hours of operation  8am to 6pm Monday thru Friday. (workday)

 Application Station CODE does not allow log in - then call Application Station support:   1-888-291-1369 x2006

TRUESCREEN:   1-800-803-9042 x2006
		 Note:  This site also needs input from ESC to process some requests.
E-Commerce Customer Service 800-667-8138

RETAIL LEARNING CENTER, GEMINI, E-LEARNING sites & passwords for all 3 sites:   1-800-292-6428
GOODYEAR LEARNING CENTER - TECHNICAL ISSUES  800-380-0054

CUSTOMER RELATIONS & PRODUCT SUPPORT:  1-800-321-2136  (adjustment approvals)

TIRE REBATE QUESTIONS  1-877-777-9937

SPIFFS:   contact is Sue McEvoy  330-796-5110  (Awaiting reply on new contact #)

ACCTS RECEIVABLE CHARGE  (CO-OWNED STORES ONLY):  Credit Center : 877-567-2067
A/R Credit Approval Fax Number: 866-884-9647
Dunn & Bradstreet Fax Number 1-800-335-7338

VENDOR PAYABLES / Corrections, etc (CO-OWNED STORES ONLY):   330-796-1937
	Co-owned store can also send e-mail to:   apquestions@goodyear.com

Tire & Service Network:   Cary Budzinski (Nat'l Program Mgr) 330-796-8234
Tire & Service Network Warranty - 800-426-0733

INFOLINK:   US  1-800-755-2772
   					CANADA LOCATIONS:
								Western Canada #  (866) 455-3857
								Western Canada OE # - (800) 268-2334
								Eastern Canada OE # - (800) 268-0400

NATIONAL ACCOUNTS/WOC - questions on pending NA Delivery Receipts or billing/questions on disputes or chargebacks  800-633-6802. (Prior to this new
	number being created locations called  6-6640 & 6-6319 -these numbers are no longer good phone numbers.)

GOVERNMENT SALES - 888-453-0021

MARKETING ZONE   1-855-233-5795

CORP TELECOMMUNICATIONS (Tammy Lewis):  330-796-5050    Fax: 330-796-8618

DIRECT TV - 1-800-531-5000 (nausak_retail_misc)

IMAGINE PRINT SOLUTIONS (replaces GBS): 1-866-263-3316; FAX 800-203-8135; helpdesk email goodyearhelpdesk@imagineps.com
R.R. Donnelly (Moores Wallace Business Forms)   866-293-9528
Xerox Customer Service (Retail Stores trying to order business cards) 800-561-3006
VISION PRODUCTS - CARTRIDGES-800-451-0767

SONSIO (Tire Protection Plan, claims, nearest location, etc):    800-445-2146

Retail Stores Alarm Systems:
         Stanley alarms - Jim Kessler (coordinator at Stanley) 612-872-3434
         ADP - See Cisco Agents here in Support

CREDIT CARDS:
    EPX CUSTOMER SERVICE NUMBER 866-581-5239  - Any issues with EPX card swipes
	DEALERS ONLY:
EPX VOICE AUTHORIZATION FOR M/C, VISA,DISCOVER,AMERICAN EXPRESS  1-866-660-7065
	CP3780 gives instructions on the process for dealers.

RETAIL STORES ONLY:  CP2607 merchant numbers -
STORES   Merchant Number -
     Voice Authorization for GBMS Credit Card Transaction:
               VISA  /  MC:    1-800-346-9907
                American Express:  1-800-528-2121
               Discover:   1-800-347-1111
               Goodyear CREDIT CARDS:  1-800-767-1114, opt 1
               Check Verify-  STORES:  Telecheck  1-800-366-5010

               Citibank numbers - GCC
					800-729-7647 - Questions regarding monthly settlement, fees, chargebacks, etc.
*********     10/11/13 - George found that this number is the one to call when a location calls in
					saying Citi Bank would not take their new credit card app because their phone # we
					not correct in the Citi Bank system. 		                   800-767-0291 - Customer           account questions, change of address
					800-767-0292 - Phone in applications (use only when automated system is down)
					800-767-1114, opt 2 - Dealer Customer Service

Goodyear Credit Card Applications & Status of Appl :  1-800-767-0292
         NEW mailing address for Goodyear & Just Tires Credit Card applications:
         DataVision Resources, 4300 Westown Pkwy, Suite 200, West Des Moines  IA  50265

*****Goodyear Credit Card Stand Alone Credit Card Machine probs******
Dealer to call Heartland Payment Sys
			1-800-767-5258 - Help Desk
			1-800-995-8032 - Daily transaction issues, batch reports, daily settlement, etc.


MITCHELL ON DEMAND - Tech Support - 888-724-6742 opt 3 then opt 3.

GECHOBYTE:     http://www.goodyeardealers.com/ web site that locates dealer sites & info
     controlled by GECHOBYTE ... but data maintained by Goodyear Customer Acct Mgr (CAM)  in the district.  Dealers should contact their CAMs.
     CAMs send in the correct information to update SAP which feeds GECHOBYTE.
     If dealer needs added to database ... CAMs complete this teamroom form and sends to Cliff Whitman. (This form is eventually going on the CIU form.)
     If a CAM needs to update an address or phone number, he has to send in a revised CIU form.

SWC (new printers and printer supplies) 630-286-8131

KIOSK Support  416-614-1020 X24  - Ask for Rita

INFOLAB-POSTCARDS-DEALERS ONLY - 877-449-6245 - to stop postcards

FLEET HQ - 866-353-3847

365 TOW - 877-497-4869

Wingfoot Help Desk
1-800-335-1965 or 479-788-6488

Mopar National Installer Program is 800-944-5178.

GOODYMARKETINGZONE.COM - Helpdesk phone # 1-855-233-5795 or GoodyearMarketingZone@brandmuscle.com for assistance.

Retail owned Stores Hours Wrong on the Webpage - DMR has to go in and correct the hours.

PENSION DEPT 1-800-334-9395

Dealers calling to update their web site information on Goodyear.com: If on TIRE SVC NETWORK They should
contact their LOCAL SALES REP. IF  Not in the network they need to contact BILL BROWN 330-796-1843.

Dealers and stores calling for issues with:  Goodyear Message Board - Need to call company: 10ft Wave @ 704-750-9283.

Retail Store:  Corporate P-Card questions
Program or Procedural Issues - GY Fixes - Store Support
Fraud and Lost or Stolen Card - Citi Visa customer service  1-800-248-4553 & Notify DMR
Declined Transfactions (caller should find instructions in Goodyear Retail)

Retail Store bank supplies:
http://dunbar.b2bprintsource.com/

If a person wants to get setup as a Goodyear Dealer have them call Kathy Remaley - 610-494-4163 REGION OPERATIONS COORDINATOR

***New Retail phone system - Integration Partners - 630-723-0439 (NEW NUMBER)

CONTROL SCAN FOR PCI COMPLIANCE PROGRAM - 800-370-9180

Goodyear Rewards Plus - 877-777-9937

MAM - Dealer Sign Ups
John Fischer 740-266-7003  (cell 740-632-6127)
jfischer@aftersoftna.com"
"2447","computer has been locked - call administrator","NA-GBMS Hardware","THINCLIENT","HP","CP2447  Why does my system show this message "" computer has been locked - call administrator "" ?","Someone has pressed Ctrl-Alt-Delete - have user repeat that keystroke and press enter at the password request field, no entry - should correct the problem."
"2451","ASC GBMS Security program","NA-GBMS 3","ADMIN","SECURITY","CP2451  How do I setup security programs at this ASC location?","""Have the location print the Letter # RSD 05-118 and read thoroughly first. If the program is currently enabled, we need to disable it, as in CP#953. Then they need to update per the letter and complete the setup, then enable again.
Remind them that each emp must exit out of their session to the big letters GBMS to drop their access for then next employee to use his own emp/pswd access.

Use this SQL> select espass,esemp from emplsec;
this will show who has emp# access and their pswd and emp#""

to turn on/off security from smenu enter: @usecure
then answer yes (on) or no (off)
then enter"
"2455","TRIAD lookup not finding parts set up","NA-GBMS 3","TRIAD PARTS CAT","TRIAD PARTS CAT","CP2455  TRIAD lookup problems after a Reload, i.e. not finding parts set up for selection.","""The reload system has the wrong sys.dat file and Terri is working with Development to correct for any further reloads.
If you encounter one now , send report to Development to fix."""
"2458","Windows cannot start/file missing","NA-GBMS Hardware","THINCLIENT","MAXSPEED","CP2458  Windows cannot start / file is missing or corrupt ... error message on thin client workstation","""Thin client error message -- Windows cannot start because the following file is missing or corrupt   windows/system32/config/system.
power off/on thin client. If it does not fix the problem
THEN ...
1 - Get the serial number (bar code) for the EA report.
2 - Send the EA report to Shipping to replace the thin client.
3 - Explain the setup script to them and give the IP address to be entered in for the maxterm."""
"2459","Compiln: Update Pendposh ORA-00100","NA-GBMS 3","HOMEPAGE","GBMS","CP2459  COMPILN: UPDATE PENDPOSH ORA-00100:  no data found","""This error usually appears as a resault of the user deleting pending web orders before the document gets completed thru compdoc.
1.  At #, type:  plus      press enter
2.  At >, type:  @sdocq        press enter
     (write down the 4 digit docs number from first doc)
3.  At >, type:  select dl_gtracs_seq from dclininv where dlseq=' XXXX ';         press enter
4.  At >, type:  update dclininv set dl_gtracs_seq= '   ' where dlseq= ' XXXX ';      press enter
5.  At >, type:  commit;      press enter
6.  type:  !loadcomp        press enter
7.  At >, type:  @sdocq       press enter
8.  At sql >, type:   /        press enter  (repeat this step until all docs cleared)"""
"2463","Email Confirmation for Tire-HQ tire order is blank","NA-GBMS Tire HQ","ORDER","ORDER STATUS","CP2463 Why is my email confirmation (tire order) blank?","""In the mean time, there are alternatives of confirming the tire order.  Please advise users that they could check order status by logging on to Tire-HQ and click on Order from the top menu and then select Order Status.

/* Brian said it should be fixed hopefully 11/28/05, latest 11/29/05 */"""
